"Name","Chr:bp","Genomic size (bp)","Class","Source Study","Study description"
"nsv1748449","14:67854807-67854820","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"nsv4220780","14:67854994-68049342","194,349","CNV","dbVar:nstd166","NCBI database of human genomic structural variation: The v2.1 release of gnomAD-SV represents a catalogue of structural variants (SVs) discovered from whole-genome sequencing of 14,891 individuals at 32X mean coverage with 2x150bp Illumina reads. From this dataset, site-level SV data was able to be released for 10,847 unrelated individuals with appropriate consent for broad data sharing."
"nsv1748450","14:67855398-67855410","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"esv3382582","14:67856335-67856706","372","CNV","DGVa:estd59","Database of Genomic Variants Archive: 1000 Genomes Project Consortium - Pilot Project. PMID:20981092"
"nsv1748451","14:67856359-67856369","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"esv2626066","14:67856844-67856844","1","CNV","DGVa:estd197","Database of Genomic Variants Archive: McKernan 2009 ""Sequence and structural variation in a human genome uncovered by short-read, massively parallel ligation sequencing using two-base encoding"" PMID:19546169"
"nsv1771823","14:67856844-67856856","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"esv2608679","14:67856926-67856926","1","CNV","DGVa:estd197","Database of Genomic Variants Archive: McKernan 2009 ""Sequence and structural variation in a human genome uncovered by short-read, massively parallel ligation sequencing using two-base encoding"" PMID:19546169"
"nsv3095419","14:67857603-67857603","-","mobile element insertion","DGVa:nstd144","Database of Genomic Variants Archive: Gardner 2017 ""Mobile element insertions (MEIs) represent ~25% of all structural variants in human genomes. Moreover, when MEIs disrupt genes, they can influence human traits and diseases. Therefore, MEIs should be fully discovered along with other forms of genetic variation. Here, we describe the Mobile Element Locator Tool (MELT), which was developed as part of the 1000 Genomes Project to perform routine MEI discovery on a population scale. We then used MELT to perform MEI discovery in modern humans, chimpanzees, and ancient (Neanderthal and Denisovan) hominids. Overall, our study provides the most comprehensive map of MEIs to date spanning chimpanzees, ancient hominids, and modern humans."""
"nsv1748452","14:67857818-67857832","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"nsv1748453","14:67859828-67859838","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"nsv1771824","14:67860696-67860717","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"nsv1748140","14:67861577-67861593","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"esv2247078","14:67862419-67862420","2","CNV","DGVa:estd194","Database of Genomic Variants Archive: Bentley 2008 ""Accurate whole human genome sequencing using reversible terminator chemistry"" PMID:18987734"
"nsv1748454","14:67862420-67862433","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"esv1062206","14:67863173-67863174","2","CNV","DGVa:estd22","Database of Genomic Variants Archive: Levy 2007 ""The diploid genome sequence of an individual human."" PMID:17803354"
"nsv1747989","14:67863965-67863988","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"nsv1771825","14:67864010-67864021","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"nsv1748142","14:67864043-67864066","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"nsv1115465","14:67864883-67875783","10,901","CNV","DGVa:nstd106","Database of Genomic Variants Archive: Alsmadi 2014 ""Comprehensive analysis of two personal genomes of Saudi arabian ancestry from Kuwait"""
"esv3551697","14:67864961-67864986","26","CNV","DGVa:estd215","Database of Genomic Variants Archive: Boomsma 2014 ""The Genome of the Netherlans: design, and project goals"" PMID:23714750"
